transition,sw,pressure1,pressure2,pressure3,pressure4,pressure5
9277.76,4.18E-29,100,150,200,300,500
9300.55,5.20E-29,100,150,200,300,500
9304.13,5.79E-29,100,150,200,300,500
9307.02,6.55E-29,100,150,200,300,500
9308.88,7.77E-29,100,150,200,300,500
9315.04,8.93E-29,100,150,200,300,500
9322.77,1.12E-28,100,150,200,300,500
9324.67,1.40E-28,100,150,200,300,500
9332.13,1.66E-28,100,150,200,300,500
9423.37,1.49E-28,100,150,200,300,500
9433.01,1.27E-28,100,150,200,300,500
9442.34,1.01E-28,100,150,200,300,500
9451.36,7.50E-29,100,150,200,300,500
9460.06,5.21E-29,100,150,200,300,500
9348.74,6.73E-29,70,150,200,300,400
9298.71,4.46E-29,70,100,150,200,300
9339.3,1.80E-28,70,100,150,200,300
9373.28,6.04E-29,70,100,150,200,300
9376.64,2.73E-28,70,100,150,200,300
9378.59,1.42E-28,70,100,150,200,300
9383.56,1.95E-28,70,100,150,200,300
9386.21,3.02E-28,70,100,150,200,300
9388.22,2.19E-28,70,100,150,200,300
9390.54,2.79E-28,70,100,150,200,300
9394.58,2.39E-28,70,100,150,200,300
9396.64,1.94E-28,70,100,150,200,300
9398.31,1.91E-28,70,100,150,200,300
9400.39,1.59E-28,70,100,150,200,300
9401.73,1.42E-28,70,100,150,200,300
9291.09,5.17E-29,50,70,100,150,200
9330.21,1.28E-28,50,70,100,150,200
9337.35,1.31E-28,50,70,100,150,200
9344.2,1.14E-28,50,70,100,150,200
9346.18,1.72E-28,50,70,100,150,200
9351.79,1.08E-28,50,70,100,150,200
9352.77,1.37E-28,50,70,100,150,200
9354.54,1.62E-28,50,70,100,150,200
9371.41,2.34E-28,50,70,100,150,200
9403.16,1.62E-28,50,70,100,150,200
9403.83,1.22E-28,50,70,100,150,200
9404.85,9.90E-29,50,70,100,150,200
9406.97,8.63E-29,50,70,100,150,200
9407.66,6.47E-29,50,70,100,150,200
9413.42,1.62E-28,50,70,100,150,200
9363.81,3.87E-28,50,60,70,80,100
9365.43,2.12E-28,50,60,70,80,100
